C,Rn,Gn,Bn,Label
30,0.728,0.196,0.076,0
509,0.722,0.199,0.079,0
486,0.723,0.200,0.077,0
462,0.518,0.391,0.091,1
467,0.514,0.393,0.093,1
504,0.514,0.400,0.086,1
490,0.454,0.356,0.190,2
516,0.462,0.351,0.186,2
502,0.459,0.355,0.186,2
540,0.584,0.321,0.095,3
470,0.573,0.314,0.113,3
567,0.556,0.368,0.076,3
451,0.578,0.308,0.114,4
678,0.581,0.319,0.100,4
2186,0.580,0.330,0.090,4
504,0.635,0.279,0.087,5
620,0.653,0.268,0.079,5
2685,0.710,0.241,0.049,5
572,0.478,0.391,0.130,6
698,0.459,0.409,0.132,6
3399,0.407,0.465,0.128,6
493,0.555,0.319,0.126,7
792,0.551,0.345,0.104,7
3665,0.533,0.371,0.096,7
533,0.566,0.340,0.094,8
461,0.573,0.337,0.090,8
464,0.560,0.346,0.094,8
